Clarke University,1550 Clarke Dr Clarke University Dubuque IA 52001 USA,52001
Coe College,"1220 1st Avenue Northeast, Cedar Rapids, IA, United States",52405
Cornell College,600 1st St W Mt Vernon IA 52314 USA,52314
Drake University,2507 University AvenueDes Moines IA 50311 United States,50311
Grinell College,601 E Locust St Des Moines IA 50309 USA,50309
Loras College,1450 Alta Vista St Dubuque IA 52001 USA,52001
Luther College Carlson Stadium,700 College Dr Decorah IA 52101 USA,52101
Simpson College,701 N C St Indianola IA 50125 USA,50125
University of Iowa School of Social Work,1200 Grand Ave #130 Des Moines IA 50309 USA,50309
University of Northern Iowa,"1227 West 27th Street, Cedar Falls, IA, United States",50614
Wartburg College,100 Wartburg Blvd Waverly IA 50677 USA,50677
Central College Bookstore,812 University St Pella IA 50219 USA,50219
AIB College of Business American Institute of Business,2500 Fleur Dr Des Moines IA 50321 USA,50321
La'james International College,8805 Chambery Blvd Johnston IA 50131 USA,50131
Kaplan University - Cedar Falls,7009 Nordic Dr Cedar Falls IA 50613 USA,50613
Grand View University,1200 Grandview Ave Des Moines IA 50316 USA,50316
Western Iowa Tech Community College,4647 Stone Ave Sioux City IA 51106 USA,51106
Ashford University,400 N Bluff Blvd Clinton IA 52732 USA,52732
Iowa Central Community College,"1 Triton Circle, Fort Dodge, IA, United States",50501
Kirkwood Kids Child Development Center,1030 5th Ave SE Cedar Rapids IA 52403 USA,52403
Allen College,1990 Heath St Waterloo IA 50703 USA,50703
Southeastern Community College,1500 W Agency Rd West Burlington IA 52655 USA,52655
Indian Hills Community College - Jefferson County Center,112 S Court St Fairfield IA 52556 USA,52556
Wartburg Theological Seminary,333 Wartburg Pl Dubuque IA 52003 USA,52003
Drake University Law School,2621 Carpenter Ave Des Moines IA 50311 USA,50311
Buena Vista University,2700 College Rd Council Bluffs IA 51503 USA,51503
Des Moines Area Community College,"1100 7th Street, Des Moines, IA, United States",50265
